traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
9001.0,2024-01-01 00:00:00,London,Camden,2511,8.011433998092937,5,High,Damaged,5705
9002.0,2024-01-01 01:00:00,London,Camden,2250,26.113977304632083,8,High,Snowy,3571
9003.0,2024-01-01 02:00:00,London,Southwark,4389,3.2870485272083494,0,Medium,Wet,1129
9004.0,2024-01-01 03:00:00,London,Southwark,1530,106.13070946558007,8,Medium,Wet,2812
9005.0,2024-01-01 04:00:00,London,Camden,3444,119.0643290758962,7,High,Snowy,1425
9006.0,2024-01-01 05:00:00,London,Islington,1401,110.93184354561832,0,Low,Wet,5862
9007.0,2024-01-01 06:00:00,London,Kensington,1335,8.614754463149172,5,Medium,Snowy,432
9008.0,2024-01-01 07:00:00,London,Islington,3651,101.29573217170875,9,Low,Snowy,6537
9009.0,2024-01-01 08:00:00,London,Kensington,214,73.09514399583833,3,Low,Snowy,3006
9010.0,2024-01-01 09:00:00,London,Camden,292,106.05898875288912,1,Low,Dry,9656
9011.0,2024-01-01 10:00:00,London,Kensington,3698,-4.470301947260047,7,Medium,Wet,249
9012.0,2024-01-01 11:00:00,London,Southwark,4236,105.64597735345508,9,High,Snowy,3111
9013.0,2024-01-01 12:00:00,London,Southwark,1244,8.306228672374719,5,Low,Dry,6659
9014.0,2024-01-01 13:00:00,London,Camden,3262,21.29816836885399,7,High,Wet,3274
9015.0,2024-01-01 14:00:00,London,Chelsea,666,111.47638564765796,0,Medium,Dry,2923
9016.0,2024-01-01 15:00:00,London,Camden,4357,57.16866292610702,9,High,Snowy,3672
9017.0,2024-01-01 16:00:00,London,Kensington,2371,44.7779615285612,7,High,Wet,2515
9018.0,2024-01-01 17:00:00,London,Camden,4171,19.631151429820147,5,Low,Damaged,6118
9019.0,2024-01-01 18:00:00,London,Southwark,3996,104.68561984532889,0,Medium,Damaged,1626
9020.0,2024-01-01 19:00:00,London,Islington,3957,10.571327627534778,0,Low,Wet,97
9021.0,2024-01-01 20:00:00,London,Islington,4546,40.47589197895975,0,High,Damaged,2525
9022.0,2024-01-01 21:00:00,London,Chelsea,2360,92.90442938800742,6,High,Damaged,8917
9023.0,2024-01-01 22:00:00,London,Chelsea,4707,28.509672670163006,5,Low,Damaged,5283
9024.0,2024-01-01 23:00:00,London,Islington,335,118.74892608320167,5,Medium,Wet,6491
,2024-01-02 00:00:00,London,Kensington,691,95.0022621645826,5,High,Dry,1901
9026.0,2024-01-02 01:00:00,London,Chelsea,439,12.58561516152324,8,Medium,Damaged,642
9027.0,2024-01-02 02:00:00,London,Chelsea,1743,78.9660022486386,1,Low,Snowy,934
9028.0,2024-01-02 03:00:00,London,,202,103.20747092601118,8,Low,Dry,9965
9029.0,2024-01-02 04:00:00,London,Islington,1694,30.014995249942135,5,Medium,Dry,5059
9030.0,2024-01-02 05:00:00,London,Kensington,858,36.69471325031935,5,High,Dry,9050
9031.0,2024-01-02 06:00:00,London,Southwark,1305,16.061180792573488,7,High,Snowy,1830
9032.0,2024-01-02 07:00:00,London,Islington,2778,20.144674178975222,5,Low,Wet,9604
9033.0,2024-01-02 08:00:00,London,Camden,3052,116.01412884133705,9,Medium,Wet,3907
9034.0,2024-01-02 09:00:00,London,Islington,2796,47.552616961702434,1,Medium,Damaged,3866
9035.0,2024-01-02 10:00:00,London,Camden,3664,112.17676790571188,4,Low,Wet,6929
9036.0,2024-01-02 11:00:00,London,Camden,2393,47.82896941704837,6,Low,Damaged,8073
9037.0,2024-01-02 12:00:00,London,Southwark,3751,114.29469091798404,0,High,Dry,7698
